date,number of accidents,Temperature,windspeed
2014-03-06,841,268.50125,5.041666666666667
2014-03-07,791,271.33166666666665,4.083333333333333
2014-03-08,678,278.23499999999996,3.5
2014-03-09,493,277.95416666666665,5.083333333333333
2014-03-10,657,277.8675,3.7916666666666665
2014-03-11,727,282.3883333333333,2.9583333333333335
2014-03-12,1126,281.88166666666666,1.7916666666666667
2014-03-13,990,270.69041666666664,9.916666666666666
2014-03-14,942,271.2870833333333,4.416666666666667
2014-03-15,715,281.59,6.208333333333333
2014-03-16,511,276.065,6.25
2014-03-17,702,270.79041666666666,5.875
2014-03-18,709,272.88875,3.2083333333333335
2014-03-19,690,274.44083333333333,3.5416666666666665
2014-03-20,773,280.08125,5.916666666666667
2014-03-21,829,279.2920833333333,6.291666666666667
2014-03-22,588,280.72833333333335,4.791666666666667
2014-03-23,509,277.9458333333334,5.166666666666667
2014-03-24,736,270.5416666666667,6.083333333333333
2014-03-25,607,271.6145833333333,2.6666666666666665
2014-03-26,686,273.3575,8.416666666666666
2014-03-27,712,271.78333333333336,4.75
2014-03-28,781,279.12875,3.5833333333333335
2014-03-29,845,281.6479166666667,3.2916666666666665
2014-03-30,716,280.25875,6.125
2014-03-31,967,278.96458333333334,7.666666666666667
2014-04-01,685,280.605,3.375
2014-04-02,631,280.00174999999996,1.1666666666666667
2014-04-03,721,283.2079166666667,1.6666666666666667
2014-04-04,758,279.64708333333334,3.3333333333333335
2014-04-05,683,280.22791666666666,6.458333333333333
2014-04-06,613,280.0933333333333,4.0
2014-04-07,644,279.6641666666667,2.3333333333333335
2014-04-08,727,284.24083333333334,4.75
2014-04-09,728,283.8020833333333,5.333333333333333
2014-04-10,823,282.46125,4.291666666666667
2014-04-11,750,288.31,4.583333333333333
2014-04-12,715,288.24291666666664,2.5
2014-04-13,587,289.0791666666667,3.7083333333333335
2014-04-14,673,292.69875,6.291666666666667
2014-04-15,687,288.99375,6.25
2014-04-16,776,276.34083333333336,7.25
2014-04-17,656,277.7004166666666,4.041666666666667
2014-04-18,639,277.6375,2.4166666666666665
2014-04-19,590,283.29333333333335,3.0416666666666665
2014-04-20,497,283.75575694445837,3.875
2014-04-21,646,282.51458333333335,1.625
2014-04-22,644,286.52875,3.25
2014-04-23,616,285.78208333333333,7.458333333333333
2014-04-24,710,282.77500000000003,8.458333333333334
2014-04-25,702,284.1,3.75
2014-04-26,662,284.4841666666667,3.4583333333333335
2014-04-27,567,283.5566666666666,5.166666666666667
2014-04-28,705,284.65000000000003,3.3333333333333335
2014-04-29,658,283.1278099593333,4.041666666666667
2014-04-30,791,280.7016041666667,5.583333333333333
2014-05-01,787,288.11041666666665,3.375
2014-05-02,791,287.43735416666664,2.1666666666666665
2014-05-03,691,286.811625,2.125
2014-05-04,518,287.69921875,4.541666666666667
2014-05-05,770,287.4291666666667,2.8333333333333335
2014-05-06,729,287.878251708,1.1666666666666667
2014-05-07,731,287.3040416666667,1.375
2014-05-08,752,286.0416666666667,1.0416666666666667
2014-05-09,839,286.9816666666666,0.9166666666666666
2014-05-10,751,291.3270416666667,1.5
2014-05-11,689,293.92875,1.3333333333333333
2014-05-12,731,294.257875,1.25
2014-05-13,758,292.4503333333334,1.5
2014-05-14,846,287.08375,1.4583333333333333
2014-05-15,793,290.3890416666666,1.25
2014-05-16,900,291.88000000000005,2.7083333333333335
2014-05-17,792,289.4325,1.3333333333333333
2014-05-18,656,287.8566666666666,1.2916666666666667
2014-05-19,805,288.07750000000004,2.5833333333333335
2014-05-20,832,291.1725,1.75
2014-05-21,718,293.5570833333333,1.4583333333333333
2014-05-22,798,291.03958333333327,1.0
2014-05-23,901,289.90166666666664,0.7916666666666666
2014-05-24,712,289.26375,1.0833333333333333
2014-05-25,719,291.47208333333333,1.8333333333333333
2014-05-26,644,295.25624999999997,4.208333333333333
2014-05-27,835,297.8333333333333,3.75
2014-05-28,744,289.97041666666667,4.25
2014-05-29,831,286.815,3.5416666666666665
2014-05-30,1013,290.03041666666667,1.5
2014-05-31,791,290.5175,5.375
2014-06-01,766,290.53291666666667,1.2916666666666667
2014-06-02,897,293.2754166666667,1.4166666666666667
2014-06-03,886,296.45202132108335,1.625
2014-06-04,766,294.66509474220834,0.7083333333333334
2014-06-05,871,292.97166666666664,1.3333333333333333
